Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
nubs-nob-ski-area,nubs-nob-ski-area skiresort,nubsnobski,0
nutt-hill-plymouth,nutt-hill-plymouth skiresort,nutthillplymouth,0
oak-mountain,oak-mountain skiresort,oakmountainskiresort,0
otsego-gaylord,otsego-gaylord skiresort,otsegogaylord,0
pine-creek,pine-creek skiresort,pinecreekskiresort,0
pine-mountain,pine-mountain skiresort,pinemountain,0
pinnacle-park-pittsfield,pinnacle-park-pittsfield skiresort,pinnacleparkpittsfield,0
pomerelle,pomerelle skiresort,pomerelle,0
porcupine-mountain,porcupine-mountain skiresort,porcupinemountain,0
powderbird,powderbird skiresort,powderbird,0
powderhorn,powderhorn skiresort,powderhornskiresort,0
powderhouse-hill-south-berwick,powderhouse-hill-south-berwick skiresort,powderhousehill,0
powers-bluff,powers-bluff skiresort,powersbluff,0
quadna-mountain,quadna-mountain skiresort,quadnamountainpark,0
quechee-lakes-ski-area,quechee-lakes-ski-area skiresort,quecheelakesskiarea,0
red-hill-moultonborough,red-hill-moultonborough skiresort,redhillmountain,0
red-river,red-river skiresort,redriverski,0
riverview-highlands,riverview-highlands skiresort,riverviewhighlands111,0
royal-mountain,royal-mountain skiresort,royalmountainskiarea,0
sahalie-ski-club,sahalie-ski-club skiresort,sahalieskiclub111,0
sand-master-park-florence,sand-master-park-florence skiresort,sandmasterparkflorence,0
sawkill-ski,sawkill-ski skiresort,sawkillski,0
sawmill-mountain-resort,sawmill-mountain-resort skiresort,sawmillmountain,0
seacoast-snow-park,seacoast-snow-park skiresort,seacoastsnowpark,0
seven-oaks,seven-oaks skiresort,sevenoaks1,0
shanty-creek-resorts-summit-mountain,shanty-creek-resorts-summit-mountain skiresort,shantycreekresorts,0
showdown,showdown skiresort,showdownskiarea,0
sierra-summit,sierra-summit skiresort,sierrasummit,0
skiland-mt-aurora,skiland-mt-aurora skiresort,skilandmtaurora,0
sleeping-giant,sleeping-giant skiresort,sleepinggiantskiresort,0
sleepy-hollow-sports-park-des-moines,sleepy-hollow-sports-park-des-moines skiresort,sleepyhollowsportsparkdesmoines,0
smugglers-notch,smugglers-notch skiresort,smugglersnotch,0
snow-summit-big-bear-lake,snow-summit-big-bear-lake skiresort,snowsummitbigbear,0
song-mountain,song-mountain skiresort,songmountainskiteam,0
spout-springs,spout-springs skiresort,spoutsprings,0
spruce-mountain-jay,spruce-mountain-jay skiresort,sprucemountainjay111,0
standing-rocks,standing-rocks skiresort,standingrocksskihill,0
steamboat,steamboat skiresort,skisteamboat,0
stevens-pass,stevens-pass skiresort,stevenspassskipatrol,0
sugar-mountain,sugar-mountain skiresort,sugarmountainskiresort,0
sugarloaf,sugarloaf skiresort,sugarloafskiing,0
suicide-six,suicide-six skiresort,suicidesix,0
summit-ski-area-at-mt-hood,summit-ski-area-at-mt-hood skiresort,summitskiarea,0
sundown,sundown skiresort,skisundown,0
