Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
fairmont-hot-springs-fairmont,fairmont-hot-springs-fairmont skiresort,fairmonthotspringsfairmont,Fairmont Hot Spring,FairmontMontana,North America,USA,Montana,http://www.skiresort.info/ski-resort/fairmont-hot-springs-fairmont/,0,0,0,0,0,0,0,null
four-lakes,four-lakes skiresort,fourlakes,Four Lakes Alpine,FourLakeSki,North America,USA,Illinois,http://www.skiresort.info/ski-resort/four-lakes/,220,1,0,0,28,0,0,null
gladstone-sports-park,gladstone-sports-park skiresort,gladstonesportspark,Gladstone Ski Hill,GladstoneSkiHil,North America,USA,Michigan,http://www.skiresort.info/ski-resort/gladstone-sports-park/,220,0.4,0.1,0,12,0,5,null
gore-mountain,gore-mountain skiresort,goremountain,Gore Mountain,GoreMountain,North America,USA,New York,http://www.skiresort.info/ski-resort/gore-mountain/,1097,6.7,28.2,23.3,83,65,46,3.6
granby-ranch,granby-ranch skiresort,skigranbyranch,Granby Ranch,GranbyRanch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/granby-ranch/,2804,6,10,4,74,0,44,3.5
grand-geneva,grand-geneva skiresort,grandgenevaski,Grand Geneva Resort & Spa,Grand_Geneva,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/grand-geneva/,304,1.2,0.4,0.2,53,0,41,null
grand-targhee,grand-targhee skiresort,grandtarghee,Grand Targhee Resort,grandtarghee,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/grand-targhee/,3048,5,15,15,90,0,42,3.8
granite-gorge,granite-gorge skiresort,granitegorgeskiarea,Granite Gorge,granitegorge,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/granite-gorge/,404,3,2,1,49,0,42,2.9
granite-peak-at-rib-mountain-state-park,granite-peak-at-rib-mountain-state-park skiresort,granitepeakatribmountainstatepark,Granite Peak Parks,GranitePeakPark,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,594,10,5,5,80,0,60,3.4
granlibakken,granlibakken skiresort,granlibakken,Granlibakken Tahoe,Granlibakken,North America,USA,Western United States,http://www.skiresort.info/ski-resort/granlibakken/,2015,1,1,0,35,0,25,1.4
greek-peak,greek-peak skiresort,spartangreekpeak,GreekPeakMtnResort,GreekPeakResort,North America,USA,New York,http://www.skiresort.info/ski-resort/greek-peak/,640,9,4,6,68,0,55,null
gunstock,gunstock skiresort,gunstockskiclub,Gunstock Mountain Resort,Gunstockmtn,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/gunstock/,690,5,25,10,86,74,62,null
h2o-guides,h2o-guides skiresort,h2oguides,H2O Guides,H2OGuides,North America,USA,Alaska,http://www.skiresort.info/ski-resort/h2o-guides/,0,0,0,0,0,0,0,null
