Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
cloudcroft,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/cloudcroft/,2773,4,2,4,45,0,35,
cloudmont-ski-resort,North America,USA,Alabama,http://www.skiresort.info/ski-resort/cloudmont-ski-resort/,548,0.6,0,0,30,0,25,
cochran-ski-area,North America,USA,Vermont,http://www.skiresort.info/ski-resort/cochran-ski-area/,280,0.6,0.5,0.1,25,0,20,
cockaigne-ski-area,North America,USA,New York,http://www.skiresort.info/ski-resort/cockaigne-ski-area/,619,,,,38,0,31,
coffee-mill-ski-area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/coffee-mill-ski-area/,360,1,0.6,0.4,32,0,26,
cooper,North America,USA,Colorado,http://www.skiresort.info/ski-resort/cooper/,3566,8,10,8,52,0,32,2.5
cooper-spur,North America,USA,Oregon,http://www.skiresort.info/ski-resort/cooper-spur/,1325,4,4,2,32,0,28,3
copper-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/copper-mountain/,3767,30,40,56,150,0,85,3.7
coppervale,North America,USA,California,http://www.skiresort.info/ski-resort/coppervale/,1825,1,2,0,0,0,0,1.5
cottonwood-butte,North America,USA,Idaho,http://www.skiresort.info/ski-resort/cottonwood-butte/,1707,,,,20,0,0,
cranmore-mountain-resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cranmore-mountain-resort/,609,16,19,8,72,59,45,3.4
crescent-hills,North America,USA,Iowa,http://www.skiresort.info/ski-resort/crescent-hills/,457,0.8,0.8,0.4,39,0,35,
crested-butte,North America,USA,Colorado,http://www.skiresort.info/ski-resort/crested-butte/,3707,27,69,25,115,104,63,3.7
crotched-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/crotched-mountain/,630,2.5,4,1.5,64,0,54,3.4
crystal-mountain-mi,North America,USA,Michigan,http://www.skiresort.info/ski-resort/crystal-mountain-mi/,359,1.2,2.3,1.4,72,0,62,3.3
crystal-mountain-wa,North America,USA,Washington State,http://www.skiresort.info/ski-resort/crystal-mountain-wa/,2137,8,27,15,80,0,56,3.8
